playlist_year,track_name,album_name,album_release_date,track_duration_ms,track_popularity,artist_name,artist_id,artist_followers,artist_genres,artist_popularity
2019,CARTIER SANTOS,A LA VIE A LA MORT,2024-09-26,183813,79,SDM,0LKAV3zJ8a8AIGnyc5OvfB,1333635,"['french hip hop', 'pop urbaine', 'r&b francais']",81
2019,POUR ELLE,A LA VIE A LA MORT,2024-09-26,179034,79,SDM,0LKAV3zJ8a8AIGnyc5OvfB,1333635,"['french hip hop', 'pop urbaine', 'r&b francais']",81
2019,Ca parle mal,Depuis le temps (Part. 2),2024-06-21,176248,76,Bouss,3hWQDRr1PqwvnHeiZlucBq,90323,[],72
2019,SOIS PAS TIMIDE,LE NORD SE SOUVIENT,2024-09-13,165978,71,GIMS,0GOx72r5AAEKRGQFn3xqXK,5017132,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80
2019,Sous la lune,Rien 100 Rien,2019-06-28,171000,61,Jul,3IW7ScrzXmPvZhB27hmfgy,10483008,"['french hip hop', 'pop urbaine', 'rap marseille']",82
2019,Monaco,Monaco,2024-07-11,141314,76,Guy2Bezbar,07h4CCFmlXkwx0g4PL5Uuh,505666,"['french hip hop', 'pop urbaine', 'rap francais']",67
2019,Minimum ça,Minimum ça,2024-08-09,149811,69,Dr. Yaro,0C1YfsZSxVHgL0Z8bngOTM,13896,[],59
2019,SPIDER,LE NORD SE SOUVIENT,2024-09-13,188818,70,GIMS,0GOx72r5AAEKRGQFn3xqXK,5017132,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80
2019,MANON B,BDLM VOL.1,2024-09-20,169846,70,Tiakola,3vUMXQ9kPnZAQkMkZZ7Hfh,2407204,"['french hip hop', 'pop urbaine']",79
2019,Imagine,Imagine,2024-05-03,165775,76,Carbonne,2t0frJEIdex2PTwuLlGxDD,160789,[],65
2019,Die With A Smile,Die With A Smile,2024-08-16,251667,100,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,32416547,"['art pop', 'dance pop', 'pop']",92
2019,Coco,GOAT,2024-10-25,148656,61,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,Collabo,GOAT,2024-10-25,174153,64,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,CRF - Nouvelle École,Nouvelle École | Saison 3 | Partie 1 (Série Netflix),2024-07-05,129153,74,Yorssy,4v3iE7RK6SOyplsSQxZsjc,127209,[],66
2019,PONA NINI,BDLM VOL.1,2024-09-20,246978,72,Tiakola,3vUMXQ9kPnZAQkMkZZ7Hfh,2407204,"['french hip hop', 'pop urbaine']",79
2019,Malya,15,2022-05-27,192182,66,AMK,1AFQg3CpeciNbd120XZDmi,68200,[],65
2019,I'M SORRY,I'M SORRY,2024-09-25,152571,72,La Mano 1.9,78iJ2FMbYAFY3djO4PbWZi,113086,[],68
2019,Passe ton chemin,Passe ton chemin,2024-06-14,169256,72,Lynda,2GlEiSHYEKlq9cUYDa9oZb,758458,['r&b francais'],63
2019,Bah Ouais - Nouvelle École,Nouvelle École | Saison 3 | La Finale (Série Netflix),2024-07-22,201951,73,Dadi,2YRHC9O0GHvyHY38yFP434,112651,[],63
2019,Pétunias,Pyramide,2024-02-16,210247,60,Werenoi,3YBJLs7RqR0aPGBgU27nDh,1510775,"['french hip hop', 'pop urbaine']",79
2019,Boucan (feat. Franglish),Boucan (feat. Franglish),2024-04-25,171216,74,KeBlack,7x3eTVPlBiPjXHn3qotY86,1467906,"['french hip hop', 'pop urbaine', 'r&b francais']",69
2019,Alibi (with Pabllo Vittar & Yseult),Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,87,Sevdaliza,5MraexJKZDrQYzS98kNwie,721310,"['alternative r&b', 'persian electronic']",77
2019,Vanilla,Vanilla,2024-08-30,187810,72,VEN1,3Cz37xnWAOtQEa5jfrTUbL,114747,[],66
2019,La famine,Pyramide 2,2024-10-18,189569,68,Werenoi,3YBJLs7RqR0aPGBgU27nDh,1510775,"['french hip hop', 'pop urbaine']",79
2019,Jungle,GOAT,2024-10-25,181460,65,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,Recommence-moi,RECOMMENCE-MOI,2024-05-24,196334,71,SANTA,5Vf6gyVzfo8TnzrPRBg3qo,121339,['french pop'],62
